epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4913,1.98792,3.40718,2.04446,0.70681,0.27048,0.27829,0.12542,2.13475,2.57748,2.423,0.000254984,0.000254984,0.000254984
2,81.0964,1.92308,2.86337,1.95403,0.46542,0.46821,0.33436,0.13142,2.24484,3.25639,2.66487,0.000501193,0.000501193,0.000501193
3,118.147,1.90146,2.75707,1.9468,0.6017,0.44041,0.38331,0.1685,2.10737,2.98667,2.4727,0.000737252,0.000737252,0.000737252
4,154.858,1.88313,2.65355,1.92498,0.44198,0.3644,0.34712,0.16956,2.36784,2.73199,2.82197,0.000723321,0.000723321,0.000723321
5,191.565,1.84411,2.52957,1.91326,0.62769,0.42538,0.44109,0.24025,2.21044,2.41933,2.59451,0.000708095,0.000708095,0.000708095
6,228.308,1.82289,2.49907,1.88758,0.53401,0.4802,0.46297,0.24316,2.05193,2.37422,2.4095,0.000692869,0.000692869,0.000692869
7,265.116,1.79101,2.41837,1.859,0.47342,0.51485,0.43656,0.21541,2.04942,2.40144,2.42166,0.000677643,0.000677643,0.000677643
8,301.781,1.7526,2.33325,1.83968,0.67531,0.47769,0.43175,0.22008,2.07404,2.37655,2.42361,0.000662417,0.000662417,0.000662417
9,338.43,1.72796,2.2931,1.82198,0.58803,0.47902,0.46206,0.24267,2.04317,2.14964,2.40817,0.00064719,0.00064719,0.00064719
10,375.339,1.70779,2.25787,1.8022,0.57061,0.43282,0.42483,0.21137,2.12816,2.14699,2.45072,0.000631964,0.000631964,0.000631964
11,411.975,1.69278,2.23862,1.78928,0.70911,0.46438,0.51083,0.25562,1.99625,2.15393,2.36251,0.000616738,0.000616738,0.000616738
12,448.696,1.66573,2.18798,1.77047,0.72953,0.42416,0.46796,0.22562,2.16158,2.24631,2.41851,0.000601512,0.000601512,0.000601512
13,485.355,1.6555,2.16931,1.77177,0.60214,0.51511,0.48168,0.2424,2.04726,2.03729,2.34589,0.000586286,0.000586286,0.000586286
14,521.85,1.65095,2.15402,1.75956,0.57879,0.50271,0.48592,0.2471,1.99325,2.00257,2.34479,0.000571059,0.000571059,0.000571059
15,558.628,1.62256,2.10912,1.74571,0.7137,0.50096,0.54349,0.2559,2.04917,1.88131,2.35519,0.000555833,0.000555833,0.000555833
16,595.269,1.6067,2.07958,1.73001,0.60398,0.529,0.50711,0.25366,1.90515,2.10669,2.25,0.000540607,0.000540607,0.000540607
17,631.852,1.5896,2.05315,1.71404,0.63534,0.51348,0.48247,0.23545,1.86241,2.0045,2.25681,0.000525381,0.000525381,0.000525381
18,668.553,1.58238,2.03877,1.70555,0.56616,0.5585,0.50305,0.253,1.89269,1.90618,2.21342,0.000510155,0.000510155,0.000510155
19,705.182,1.56742,2.02184,1.70176,0.56176,0.46547,0.49222,0.25033,1.99744,2.08117,2.37754,0.000494928,0.000494928,0.000494928
20,741.713,1.5347,1.97921,1.67693,0.47096,0.55846,0.52495,0.28597,1.8725,1.82039,2.22649,0.000479702,0.000479702,0.000479702
21,778.368,1.53332,1.96763,1.68752,0.64033,0.51223,0.52314,0.26377,1.92991,1.78904,2.26725,0.000464476,0.000464476,0.000464476
22,814.936,1.51949,1.94356,1.67043,0.72636,0.5064,0.52299,0.26927,1.9239,1.78629,2.21517,0.00044925,0.00044925,0.00044925
23,851.528,1.5032,1.92731,1.65761,0.65848,0.50647,0.53622,0.2443,2.03509,1.82107,2.33737,0.000434024,0.000434024,0.000434024
24,888.182,1.50003,1.92669,1.65017,0.60028,0.55117,0.54477,0.26976,1.92514,1.82164,2.278,0.000418797,0.000418797,0.000418797
25,924.799,1.48647,1.90145,1.64636,0.69149,0.54981,0.54104,0.2672,1.88885,1.76033,2.23496,0.000403571,0.000403571,0.000403571
