epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5972,1.67585,4.01052,1.92491,0.00418,0.59106,0.11372,0.05991,1.61903,3.28352,2.06267,0.000250879,0.000250879,0.000250879
2,27.3892,1.60386,3.15194,1.83498,0.65288,0.25396,0.34003,0.13034,1.89208,2.78741,2.2812,0.00049717,0.00049717,0.00049717
3,37.9368,1.61712,2.82123,1.83128,0.59324,0.27567,0.32736,0.1354,1.89529,2.56917,2.3083,0.00073331,0.00073331,0.00073331
4,48.519,1.62525,2.82573,1.84996,0.5356,0.3353,0.35339,0.14087,2.15896,2.68508,2.61297,0.000723321,0.000723321,0.000723321
5,58.9889,1.62627,2.68218,1.8323,0.5556,0.25025,0.25991,0.10816,2.06689,2.72192,2.51381,0.000708095,0.000708095,0.000708095
6,69.443,1.6158,2.61438,1.83128,0.63463,0.37754,0.4157,0.17382,2.06966,2.52364,2.4251,0.000692869,0.000692869,0.000692869
7,79.9333,1.56252,2.55076,1.79568,0.53469,0.37352,0.31977,0.14886,2.00407,3.19113,2.35094,0.000677643,0.000677643,0.000677643
8,90.3923,1.57118,2.39109,1.78502,0.63078,0.41865,0.4455,0.17653,1.87454,2.43295,2.26061,0.000662417,0.000662417,0.000662417
9,100.752,1.4765,2.29918,1.72448,0.62999,0.42606,0.49603,0.23951,1.80602,2.14413,2.17042,0.00064719,0.00064719,0.00064719
10,111.215,1.50908,2.20217,1.75836,0.51376,0.47563,0.46422,0.22792,1.74364,2.21556,2.1351,0.000631964,0.000631964,0.000631964
11,121.617,1.50564,2.25495,1.7523,0.5578,0.53669,0.47908,0.24103,1.85276,2.41513,2.25453,0.000616738,0.000616738,0.000616738
12,132.036,1.45005,2.03851,1.67161,0.52555,0.44969,0.45492,0.24816,1.7473,2.10238,2.1157,0.000601512,0.000601512,0.000601512
